x,y,t
-0.5151915283203125,-1.1398292236328125,0.030159950256347656
-0.49961279296875,-1.0528502197265626,1.0619971752166748
-0.46277783203125,-0.9392769165039062,2.087156057357788
-0.3835284423828125,-0.7769559936523438,3.1154143810272217
-0.3133843994140625,-0.6532210083007812,4.143433570861816
-0.2394378662109375,-0.5316851196289063,5.170212030410767
-0.15549462890625,-0.37839678955078127,6.198748588562012
-0.125634765625,-0.311942626953125,7.201268672943115
-0.0903262939453125,-0.24273394775390625,8.23043942451477
-0.0461708984375,-0.14896235656738283,9.257838010787964
-0.01087548828125,-0.07787461853027344,10.283509016036987
0.020718017578125,-0.007607353210449219,11.30967378616333
0.061999755859375,0.08795049285888672,12.335627317428589
0.0924244384765625,0.1601842041015625,13.362708568572998
0.121634521484375,0.23421588134765625,14.38959527015686
0.160808837890625,0.3342317810058594,15.42133641242981
0.18502813720703126,0.3991950378417969,16.421958684921265
0.2228446044921875,0.47361724853515624,17.449676036834717
0.2719268798828125,0.5718399047851562,18.475749015808105
0.30702362060546873,0.6490760498046875,19.502732038497925
0.3386947021484375,0.7215593872070313,20.52865743637085
0.38703857421875,0.8284957885742188,21.55552911758423
0.42041796875,0.906961181640625,22.58093810081482
0.454839599609375,0.9821448364257812,23.606374263763428
