x,y,t
-0.5225260009765625,-1.1432325439453126,0.030196428298950195
-0.5059488525390625,-1.09529541015625,1.0325543880462646
-0.45102880859375,-1.0123986206054687,2.058825731277466
-0.397974365234375,-0.9114515991210937,3.084679126739502
-0.3446243896484375,-0.8055899658203125,4.112457752227783
-0.2985731201171875,-0.7190503540039063,5.140930414199829
-0.2475537109375,-0.6128862915039063,6.1684794425964355
-0.2059176025390625,-0.5155662841796875,7.194949150085449
-0.1761964111328125,-0.4264430236816406,8.21895956993103
-0.1620174560546875,-0.34134466552734377,9.23502516746521
-0.117533203125,-0.2613489074707031,10.246837139129639
-0.0732271728515625,-0.1767505645751953,11.2732834815979
-0.022654296875,-0.07863024139404297,12.299464702606201
0.0272562255859375,0.023287651062011718,13.325598955154419
0.06684228515625,0.10969412994384765,14.351578950881958
0.11097662353515625,0.21739425659179687,15.380184173583984
0.1482579345703125,0.30348321533203126,16.406177043914795
0.18659100341796875,0.40158197021484376,17.43352961540222
0.241716552734375,0.513946533203125,18.46705913543701
0.2862806396484375,0.6145640258789062,19.49429440498352
0.32797259521484373,0.7020582275390626,20.519857168197632
0.3867840576171875,0.8281287841796875,21.547621965408325
0.4280121459960938,0.9262055053710937,22.57423496246338
0.47205059814453126,1.0183609619140626,23.60012125968933
