trial	group	subject	repetition	x	y	random	triedToEat	ate
Travel	Control	1	0	-0.73333335	-0.06666666	false	false	false
Travel	Control	1	0	-0.721910920889124	-0.0222621961589828	false	false	false
Travel	Control	1	0	-0.729812387126907	0.0271069300995378	false	false	false
Travel	Control	1	0	-0.733185059997336	0.0769209232246018	false	false	false
Travel	Control	1	0	-0.721916166962624	0.125235653108653	false	false	false
Travel	Control	1	0	-0.688426045923955	0.161453951500096	false	false	false
Travel	Control	1	0	-0.641965453897535	0.179261218030686	false	false	false
Travel	Control	1	0	-0.592376262951915	0.185118008378155	false	true	true
Travel	Control	1	0	-0.542411661350851	0.184169723675754	false	false	false
Travel	Control	1	0	-0.492710271136301	0.178870027977931	false	false	false
Travel	Control	1	0	-0.443505686421157	0.170065937090435	false	false	false
Travel	Control	1	0	-0.394969025569303	0.158097401882524	false	false	false
Travel	Control	1	0	-0.347377199622993	0.142798377248155	false	false	false
Travel	Control	1	0	-0.300928104861434	0.124340172107865	false	false	false
Travel	Control	1	0	-0.255860027447638	0.102716473389643	false	false	false
Travel	Control	1	0	-0.212840934185374	0.077267371892297	false	false	false
Travel	Control	1	0	-0.172058787726393	0.0483893431174735	false	false	false
Travel	Control	1	0	-0.134350942189464	0.0155944838099711	false	false	false
Travel	Control	1	0	-0.100277044701552	-0.0209365712979626	false	false	false
Travel	Control	1	0	-0.0705124151633895	-0.061066548820912	false	false	false
Travel	Control	1	0	-0.0456491017786953	-0.104395230615113	false	false	false
Travel	Control	1	0	-0.0252024540565825	-0.149996825911644	false	false	false
Travel	Control	1	0	-0.00846491465804199	-0.197091796451664	false	false	false
Travel	Control	1	0	0.00500074613712402	-0.245233915139157	false	false	false
Travel	Control	1	0	0.0161000831270635	-0.293979010287556	false	false	false
Travel	Control	1	0	0.024991981821914	-0.343177118633454	false	false	false
Travel	Control	1	0	0.0322364208371494	-0.392646560974855	false	false	false
Travel	Control	1	0	0.0382559876650747	-0.442281171937809	false	false	false
Travel	Control	1	0	0.0432157532347624	-0.492033802865001	false	false	false
Travel	Control	1	0	0.0475723252030211	-0.541843361764036	false	false	false
Travel	Control	1	0	0.0516582221252629	-0.591676104824632	false	false	false
Travel	Control	1	0	0.0559123058200381	-0.641494583674781	false	false	false
Travel	Control	1	0	0.0610097759154603	-0.69123177938525	false	false	false
Travel	Control	1	0	0.0680020016757448	-0.740730500902988	false	false	false
Travel	Control	1	0	0.0786899368062149	-0.789549447095094	false	false	false
Travel	Control	1	0	0.0952989805298569	-0.836637091876597	false	false	false
Travel	Control	1	0	0.122901611965033	-0.87793109833859	false	false	false
Travel	Control	1	0	0.168488157096435	-0.89090293835562	false	false	false
Travel	Control	1	0	0.20547981472066	-0.858772854263562	false	false	false
Travel	Control	1	0	0.227203331116254	-0.813828331596207	false	false	false
Travel	Control	1	0	0.243988209986777	-0.766735003089942	false	false	false
Travel	Control	1	0	0.259776654210581	-0.719293218414889	false	false	false
Travel	Control	1	0	0.275961961609037	-0.671985972868365	false	false	false
Travel	Control	1	0	0.293109863932862	-0.625019753199712	false	false	false
Travel	Control	1	0	0.311466238910922	-0.578513248504133	false	false	false
Travel	Control	1	0	0.331077585738851	-0.532522795042729	false	false	false
Travel	Control	1	0	0.35189889759814	-0.487066336355705	false	true	true
Travel	Control	1	0	0.373926904687574	-0.442181444607855	false	false	false
Travel	Control	1	0	0.396563667412144	-0.397599550020694	false	false	false
Travel	Control	1	0	0.419430250846155	-0.35313476747221	false	false	false
Travel	Control	1	0	0.442171472643256	-0.308605899714165	false	false	false
Travel	Control	1	0	0.464513341804609	-0.263875732834432	false	false	false
Travel	Control	1	0	0.486179259785335	-0.218814739045457	false	false	false
Travel	Control	1	0	0.506711438354084	-0.173227385364678	false	false	false
Travel	Control	1	0	0.525908045839198	-0.12706409281857	false	false	false
Travel	Control	1	0	0.543395367181886	-0.080227352677395	false	false	false
Travel	Control	1	0	0.55822238968649	-0.0324874574137356	false	false	false
Travel	Control	1	0	0.570040302928855	0.0160781671943618	false	false	false
Travel	Control	1	0	0.577685270456216	0.0654554689846227	false	false	false
Travel	Control	1	0	0.579778303751362	0.115369562882508	false	false	false
Travel	Control	1	0	0.574773752300756	0.16502554966845	false	true	true
Travel	Control	1	0	0.561618382307506	0.213182757968555	false	false	false
Travel	Control	1	0	0.539631582967071	0.258007427370915	false	false	false
Travel	Control	1	0	0.511476161194804	0.299248427446863	false	false	false
Travel	Control	1	0	0.478125856509276	0.336457212808185	false	false	false
Travel	Control	1	0	0.441428223162447	0.370377876145393	false	false	false
Travel	Control	1	0	0.401950388014732	0.40103893497051	false	false	false
Travel	Control	1	0	0.360731050614317	0.429320866140467	false	false	false
Travel	Control	1	0	0.318057310414817	0.455363060948139	false	false	false
Travel	Control	1	0	0.274281926817896	0.479513491302763	false	false	false
Travel	Control	1	0	0.229730087642066	0.502201376212684	false	false	false
Travel	Control	1	0	0.184560387600995	0.523636887739261	false	false	false
Travel	Control	1	0	0.13884609636086	0.543887197350031	false	false	false
Travel	Control	1	0	0.092753063104021	0.563260519958098	false	false	false
Travel	Control	1	0	0.0463751959258398	0.581942532380897	false	false	false
Travel	Control	1	0	-0.000217811630271333	0.600082488156885	false	true	true
Travel	Control	1	0	-0.0470191526960456	0.617677622403738	false	false	false
Travel	Control	1	0	-0.0940684613498249	0.634596341511187	false	false	false
Travel	Control	1	0	-0.141474571530347	0.650484464105056	false	false	false
