trial	group	subject	repetition	x	y	random	triedToEat	ate
Travel	Control	1	0	0.33333337	-0.3333333	false	false	false
Travel	Control	1	0	0.377871950025358	-0.33222646300351	false	false	false
Travel	Control	1	0	0.378939181613603	-0.38147175974503	false	false	false
Travel	Control	1	0	0.368053358820514	-0.43025316508059	false	false	false
Travel	Control	1	0	0.354679743910042	-0.47842991347421	false	true	true
Travel	Control	1	0	0.340842101617045	-0.526476906982283	false	false	false
Travel	Control	1	0	0.327727824032549	-0.574724498123797	false	false	false
Travel	Control	1	0	0.316708290069177	-0.623485920818454	false	false	false
Travel	Control	1	0	0.310699290392715	-0.673068943574498	false	false	false
Travel	Control	1	0	0.320179103629587	-0.721363430555495	false	false	false
Travel	Control	1	0	0.364706666498371	-0.736982229006808	false	false	false
Travel	Control	1	0	0.412840391088191	-0.724063976770314	false	false	false
Travel	Control	1	0	0.458063745569439	-0.702818579987546	false	false	false
Travel	Control	1	0	0.501032254039492	-0.677283419400684	false	false	false
Travel	Control	1	0	0.542005402764719	-0.648644865747937	false	false	false
Travel	Control	1	0	0.580868543778422	-0.617204379838384	false	false	false
Travel	Control	1	0	0.617270603418811	-0.582953806881313	false	false	false
Travel	Control	1	0	0.650442183009206	-0.545573667013557	false	false	false
Travel	Control	1	0	0.679472583284253	-0.504903455382522	false	false	false
Travel	Control	1	0	0.70332643959387	-0.461007047060821	false	false	false
Travel	Control	1	0	0.720848112276752	-0.414230982134649	false	false	false
Travel	Control	1	0	0.730953339497662	-0.365320072203887	false	false	false
Travel	Control	1	0	0.733108083525698	-0.315428668772113	false	false	false
Travel	Control	1	0	0.727109499543163	-0.265851119916509	false	false	false
Travel	Control	1	0	0.71299161375817	-0.217950261713602	false	false	false
Travel	Control	1	0	0.691436060915192	-0.172898398274683	false	false	false
Travel	Control	1	0	0.663475363239391	-0.131504388295267	false	false	false
Travel	Control	1	0	0.630245260709057	-0.0941940136293252	false	false	false
Travel	Control	1	0	0.592897175693673	-0.0609960932189812	false	false	false
Travel	Control	1	0	0.552451815960758	-0.0316345370629903	false	false	false
Travel	Control	1	0	0.509503134491025	-0.00606616654021624	false	false	false
Travel	Control	1	0	0.464651464596193	0.0159962970816271	false	false	false
Travel	Control	1	0	0.418149868166809	0.0343283986825017	false	false	false
Travel	Control	1	0	0.370322791550951	0.048848235098875	false	false	false
Travel	Control	1	0	0.321469035971357	0.0593996191676058	false	false	false
Travel	Control	1	0	0.271888453731945	0.0657085151573027	false	false	false
Travel	Control	1	0	0.221937034566342	0.0674209492473362	false	false	false
Travel	Control	1	0	0.172059823202946	0.0642278939182501	false	false	false
Travel	Control	1	0	0.122657913837823	0.0566304674583462	false	false	false
Travel	Control	1	0	0.073946236502303	0.0454109561496433	false	false	false
Travel	Control	1	0	0.0260102030349955	0.0312257498988075	false	false	false
Travel	Control	1	0	-0.021140678215448	0.0146066766245928	false	false	false
Travel	Control	1	0	-0.0675348513065004	-0.00402702861413633	false	false	false
Travel	Control	1	0	-0.113220258046725	-0.0243399127455892	false	false	false
Travel	Control	1	0	-0.158338544338673	-0.0458852080039869	false	false	false
Travel	Control	1	0	-0.203076632437301	-0.0682120024103651	false	false	false
Travel	Control	1	0	-0.247512731258975	-0.0911269085456502	false	false	false
Travel	Control	1	0	-0.288423109565957	-0.119592583074183	false	false	false
Travel	Control	1	0	-0.316596567095427	-0.160576329835979	false	false	false
Travel	Control	1	0	-0.335854645678264	-0.206697967450217	false	false	false
Travel	Control	1	0	-0.352358871969046	-0.253889923722046	false	false	false
Travel	Control	1	0	-0.366384073269747	-0.301874019286491	false	false	false
Travel	Control	1	0	-0.377065059848147	-0.35070171829386	false	false	false
Travel	Control	1	0	-0.382404287141265	-0.400365058594454	false	false	false
Travel	Control	1	0	-0.377157282287577	-0.449857681712812	false	false	false
Travel	Control	1	0	-0.347383366545318	-0.48809948847662	false	true	true
Travel	Control	1	0	-0.298615277639289	-0.495469894431411	false	false	false
Travel	Control	1	0	-0.249797885811198	-0.485299633526593	false	false	false
Travel	Control	1	0	-0.203645963458163	-0.466211283652391	false	false	false
Travel	Control	1	0	-0.160846634419982	-0.440446774739727	false	false	false
Travel	Control	1	0	-0.122008984076977	-0.409041387159022	false	false	false
Travel	Control	1	0	-0.0890080039181894	-0.371583716751523	false	false	false
Travel	Control	1	0	-0.064697469737102	-0.328079312641045	false	false	false
Travel	Control	1	0	-0.0523324023292171	-0.27977719585453	false	false	false
Travel	Control	1	0	-0.0503706616690875	-0.229871440817417	false	false	false
Travel	Control	1	0	-0.0543715175009476	-0.180050752960621	false	false	false
Travel	Control	1	0	-0.0610409183018241	-0.130499188483734	false	false	false
Travel	Control	1	0	-0.0677619865423869	-0.0809541919705263	false	false	false
Travel	Control	1	0	-0.0722249878567203	-0.0311652735196001	false	false	false
Travel	Control	1	0	-0.0724185758207878	0.0188046739304179	false	false	false
Travel	Control	1	0	-0.0662671492392288	0.0683740911309174	false	false	false
Travel	Control	1	0	-0.0525391183746347	0.116399574089949	false	false	false
Travel	Control	1	0	-0.0324817957976954	0.16215082004195	false	false	false
Travel	Control	1	0	-0.00700503728497835	0.205128081213015	false	false	false
Travel	Control	1	0	0.0233951564747108	0.244783273655381	false	false	false
Travel	Control	1	0	0.0588358330748507	0.279989897608125	false	false	false
Travel	Control	1	0	0.0991771427012208	0.309404018528619	false	false	false
Travel	Control	1	0	0.144828206270363	0.329399114752606	false	false	false
Travel	Control	1	0	0.194232776265489	0.333907644578	false	false	false
Travel	Control	1	0	0.241016867617701	0.317476173874387	false	false	false
Travel	Control	1	0	0.280597543047489	0.287141931311339	false	false	false
Travel	Control	1	0	0.314824070175978	0.250736944550965	false	false	false
Travel	Control	1	0	0.345900300966866	0.21157469144487	false	false	false
Travel	Control	1	0	0.375777549969844	0.171483531130449	false	false	false
Travel	Control	1	0	0.405975564002259	0.131635675015839	false	false	false
Travel	Control	1	0	0.43829631007686	0.0935086825639275	false	false	false
Travel	Control	1	0	0.475451128165784	0.0601915984153377	false	false	false
Travel	Control	1	0	0.519845709594129	0.0377399749550728	false	false	false
Travel	Control	1	0	0.568892477744121	0.0378200735395548	false	false	false
Travel	Control	1	0	0.598406226320312	0.0752495557465148	false	false	false
Travel	Control	1	0	0.595429376550912	0.124710653973906	false	false	false
Travel	Control	1	0	0.577622766220424	0.171333512260485	false	true	true
Travel	Control	1	0	0.553192317374196	0.214916635286636	false	false	false
Travel	Control	1	0	0.525001151675996	0.256196861321349	false	false	false
Travel	Control	1	0	0.494103307661633	0.295494966993411	false	false	false
Travel	Control	1	0	0.461320652386428	0.333238185435214	false	false	false
Travel	Control	1	0	0.426774496284852	0.369374503629885	false	false	false
Travel	Control	1	0	0.390555608905017	0.403834665639328	false	false	false
Travel	Control	1	0	0.352874856740381	0.436687889802125	false	false	false
Travel	Control	1	0	0.313736049314502	0.467791981464173	false	false	false
Travel	Control	1	0	0.272929234385239	0.496669417345836	false	false	false
Travel	Control	1	0	0.230545069831727	0.523168781141299	false	false	false
Travel	Control	1	0	0.186605429133566	0.546991484386119	false	false	false
Travel	Control	1	0	0.141074664416005	0.567611372491585	false	false	false
Travel	Control	1	0	0.0937434931803854	0.58364334017497	false	false	false
Travel	Control	1	0	0.0450682243861692	0.594881073906717	false	false	false
Travel	Control	1	0	-0.00460739526472398	0.599955474469577	false	true	true
Travel	Control	1	0	-0.0544883583008589	0.597519019129008	false	false	false
Travel	Control	1	0	-0.103678477143557	0.588822056963717	false	false	false
Travel	Control	1	0	-0.151205331928806	0.573402498514427	false	false	false
Travel	Control	1	0	-0.196974259308457	0.553353006902782	false	false	false
Travel	Control	1	0	-0.240660248565219	0.529085650120411	false	false	false
Travel	Control	1	0	-0.282218642563856	0.501314971739292	false	false	false
Travel	Control	1	0	-0.321929455505649	0.470955847034037	false	false	false
Travel	Control	1	0	-0.3597535581685	0.438270839425926	false	false	false
Travel	Control	1	0	-0.395768283363873	0.403597863279889	false	false	false
Travel	Control	1	0	-0.430263285108047	0.367412055273609	false	false	false
Travel	Control	1	0	-0.463307434672033	0.329893665264607	false	false	false
Travel	Control	1	0	-0.494776096264491	0.291042862601351	false	false	false
Travel	Control	1	0	-0.524974436435538	0.251197180966033	false	false	false
Travel	Control	1	0	-0.553871043303971	0.210397432457694	false	false	false
Travel	Control	1	0	-0.581366326676888	0.168639447209195	false	true	true
Travel	Control	1	0	-0.607550085085602	0.126048169346128	false	false	false
Travel	Control	1	0	-0.632205171794116	0.08255292587015	false	false	false
Travel	Control	1	0	-0.65494259697539	0.0380270501555716	false	false	false
Travel	Control	1	0	-0.674394027964194	-0.00800886684937211	false	false	false
Travel	Control	1	0	-0.66235343311858	-0.0244368938812996	false	false	false
Travel	Control	1	0	-0.632488743902555	0.0156174118678836	false	false	false
Travel	Control	1	0	-0.60555518967613	0.057739396757908	false	false	false
Travel	Control	1	0	-0.6	0.06666672	false	false	false
