trial	group	subject	repetition	x	y	random	triedToEat	ate
Travel	Control	1	0	-0.6	-0.46666664	false	false	false
Travel	Control	1	0	-0.551499881003412	-0.454738986613422	false	false	false
Travel	Control	1	0	-0.50174333205018	-0.454803200234149	false	false	false
Travel	Control	1	0	-0.455028473870811	-0.472158983486231	false	false	false
Travel	Control	1	0	-0.40774205420523	-0.487703476210663	false	false	false
Travel	Control	1	0	-0.357955132639404	-0.486288919736198	false	true	true
Travel	Control	1	0	-0.309167532978235	-0.475413076032022	false	false	false
Travel	Control	1	0	-0.260385107699193	-0.46447589320283	false	false	false
Travel	Control	1	0	-0.21093092368749	-0.457246104245776	false	false	false
Travel	Control	1	0	-0.161001102014954	-0.455164325186113	false	false	false
Travel	Control	1	0	-0.111161741579483	-0.458779502178485	false	false	false
Travel	Control	1	0	-0.0620175549780206	-0.467828954828607	false	false	false
Travel	Control	1	0	-0.0138559822352044	-0.481225484276133	false	false	false
Travel	Control	1	0	0.0337831538262624	-0.496405291455988	false	false	false
Travel	Control	1	0	0.0814647841769247	-0.511451012828337	false	false	false
Travel	Control	1	0	0.129692249847137	-0.524619228433804	false	false	false
Travel	Control	1	0	0.178811013539934	-0.533818651074402	false	false	false
Travel	Control	1	0	0.228668331296868	-0.536438463311779	false	false	false
Travel	Control	1	0	0.278010519630789	-0.529196033286715	false	false	false
Travel	Control	1	0	0.323317821987552	-0.508528829449167	false	false	false
Travel	Control	1	0	0.36111498735373	-0.476105220863143	false	true	true
Travel	Control	1	0	0.391037595017497	-0.43616740796867	false	false	false
Travel	Control	1	0	0.415397150078221	-0.392540427269692	false	false	false
Travel	Control	1	0	0.435667793061399	-0.346847202901223	false	false	false
Travel	Control	1	0	0.453336068862631	-0.300082376173577	false	false	false
Travel	Control	1	0	0.468821920627356	-0.252545009887251	false	false	false
Travel	Control	1	0	0.482874545613319	-0.20456330505174	false	false	false
Travel	Control	1	0	0.495729433667133	-0.156245652119559	false	false	false
Travel	Control	1	0	0.507611837146845	-0.107678865506146	false	false	false
Travel	Control	1	0	0.51883677959046	-0.0589557583396322	false	false	false
Travel	Control	1	0	0.529567996875317	-0.0101212357104034	false	false	false
Travel	Control	1	0	0.539944972218992	0.0387899928698468	false	false	false
Travel	Control	1	0	0.550134688009762	0.0877406743239446	false	false	false
Travel	Control	1	0	0.560322322635774	0.136691783334668	false	false	false
Travel	Control	1	0	0.570677101345369	0.185607747994174	false	true	true
Travel	Control	1	0	0.581429634243318	0.234437750832209	false	false	false
Travel	Control	1	0	0.592478263444759	0.283201656098602	false	false	false
Travel	Control	1	0	0.603736328754498	0.331917714342837	false	false	false
Travel	Control	1	0	0.614971582349634	0.380639002018554	false	false	false
Travel	Control	1	0	0.625738434643116	0.429465023318918	false	false	false
Travel	Control	1	0	0.634401409091773	0.478688868461192	false	false	false
Travel	Control	1	0	0.613718504176329	0.486471911466558	false	false	false
Travel	Control	1	0	0.586330954379791	0.444667218924941	false	false	false
Travel	Control	1	0	0.560943464726057	0.401593065001217	false	false	false
Travel	Control	1	0	0.536192900272498	0.358148921802918	false	false	false
Travel	Control	1	0	0.511663767709341	0.314579239790625	false	false	false
Travel	Control	1	0	0.487220346236954	0.270961367111002	false	false	false
Travel	Control	1	0	0.46275647025014	0.227354971136812	false	false	false
Travel	Control	1	0	0.438200948198698	0.183800151114524	false	false	false
Travel	Control	1	0	0.413495659217635	0.140330160749115	false	false	false
Travel	Control	1	0	0.388584325724953	0.0969779852115057	false	false	false
Travel	Control	1	0	0.363408104083737	0.0537791713710449	false	false	false
Travel	Control	1	0	0.337901261903966	0.0107748007525156	false	false	false
Travel	Control	1	0	0.311986261060382	-0.0319848531053062	false	false	false
Travel	Control	1	0	0.285513170036953	-0.0744009555643604	false	false	false
Travel	Control	1	0	0.258351595609521	-0.116378651188348	false	false	false
Travel	Control	1	0	0.230326003159584	-0.157783076668223	false	false	false
Travel	Control	1	0	0.201169384448329	-0.198397891775759	false	false	false
Travel	Control	1	0	0.170133845336936	-0.237590143930148	false	false	false
Travel	Control	1	0	0.136945654545299	-0.274966464241261	false	false	false
Travel	Control	1	0	0.100711718651526	-0.309380499599632	false	false	false
Travel	Control	1	0	0.0603993130276559	-0.338852933451839	false	false	false
Travel	Control	1	0	0.0146038784604729	-0.358378361432652	false	false	false
Travel	Control	1	0	-0.0345986497930195	-0.356374937286556	false	false	false
Travel	Control	1	0	-0.0726969349994127	-0.325286885555188	false	false	false
Travel	Control	1	0	-0.0937539801513969	-0.28008473779654	false	false	false
Travel	Control	1	0	-0.109809157146846	-0.232733487222264	false	false	false
Travel	Control	1	0	-0.127811781617668	-0.18609944169534	false	false	false
Travel	Control	1	0	-0.149952889442771	-0.141290645052101	false	false	false
Travel	Control	1	0	-0.176308946701592	-0.0988284606456414	false	false	false
