group	subject	id	x	y	enabled
Control	1	1	-0.352671151375484	-0.485410196624968	true
Control	1	2	0.352671151375484	-0.485410196624969	true
Control	1	3	0.570633909777092	0.185410196624968	true
Control	1	4	1.83697019872103e-16	0.6	true
Control	1	5	-0.570633909777092	0.185410196624969	true
